# of reads,# of items in equivalence class,isoforms in equivalence class
688,10,"ENST00000524851, ENST00000532872, ENST00000534440, ENST00000531188, ENST00000526608, ENST00000526248, ENST00000527446, ENST00000530170, ENST00000278572, ENST00000525933"
687,4,"ENST00000534668, ENST00000389939, ENST00000345732, ENST00000674194"
678,3,"ENST00000526596, ENST00000616714, ENST00000300737"
673,2,"ENST00000265970, ENST00000691414"
644,1,ENST00000534440
633,10,"ENST00000534797, ENST00000525701, ENST00000397614, ENST00000529768, ENST00000397615, ENST00000397604, ENST00000533410, ENST00000354420, ENST00000438658, ENST00000356187"
633,7,"ENST00000678132, ENST00000651655, ENST00000640290, ENST00000533626, ENST00000678993, ENST00000531572, ENST00000531329"
623,2,"ENST00000354286, ENST00000319863"
621,2,"ENST00000524827, ENST00000323959"
615,3,"ENST00000527971, ENST00000257829, ENST00000531159"
612,5,"ENST00000527651, ENST00000526596, ENST00000616714, ENST00000300737, ENST00000533977"
610,6,"ENST00000379412, ENST00000396222, ENST00000430553, ENST00000227157, ENST00000540430, ENST00000422447"
609,7,"ENST00000528995, ENST00000526711, ENST00000396751, ENST00000299421, ENST00000532063, ENST00000537806, ENST00000420936"
609,1,ENST00000530721
608,2,"ENST00000413761, ENST00000432999"
605,5,"ENST00000433961, ENST00000396847, ENST00000682968, ENST00000684655, ENST00000380034"
592,7,"ENST00000532829, ENST00000620041, ENST00000534180, ENST00000526640, ENST00000273550, ENST00000529548, ENST00000532601"
580,6,"ENST00000532829, ENST00000530019, ENST00000534180, ENST00000526640, ENST00000273550, ENST00000529548"
579,4,"ENST00000422447, ENST00000227157, ENST00000396222, ENST00000540430"
577,1,ENST00000332826
574,13,"ENST00000495052, ENST00000542179, ENST00000430553, ENST00000539814, ENST00000543445, ENST00000227157, ENST00000541097, ENST00000422447, ENST00000540430, ENST00000396222, ENST00000379412, ENST00000545467, ENST00000478970"
570,2,"ENST00000251968, ENST00000536719"
567,2,"ENST00000399302, ENST00000650167"
566,1,ENST00000530019
566,1,ENST00000318950
564,11,"ENST00000396525, ENST00000526148, ENST00000530211, ENST00000524932, ENST00000532082, ENST00000527526, ENST00000531647, ENST00000531416, ENST00000339995, ENST00000532570, ENST00000525681"
560,2,"ENST00000526072, ENST00000263645"
554,12,"ENST00000328221, ENST00000680938, ENST00000680696, ENST00000680588, ENST00000679380, ENST00000399815, ENST00000528780, ENST00000681938, ENST00000679765, ENST00000408968, ENST00000681180, ENST00000681577"
540,6,"ENST00000300738, ENST00000533349, ENST00000534285, ENST00000533495, ENST00000528442, ENST00000532170"
534,6,"ENST00000678132, ENST00000651655, ENST00000677121, ENST00000678993, ENST00000533626, ENST00000531329"
524,17,"ENST00000422447, ENST00000545215, ENST00000396222, ENST00000379412, ENST00000478970, ENST00000495052, ENST00000542179, ENST00000535451, ENST00000539814, ENST00000227157, ENST00000541097, ENST00000540430, ENST00000545467, ENST00000536528, ENST00000430553, ENST00000543445, ENST00000486690"
520,4,"ENST00000414641, ENST00000379965, ENST00000425490, ENST00000414897"
519,3,"ENST00000533540, ENST00000534624, ENST00000453788"
513,1,ENST00000314138
503,5,"ENST00000651785, ENST00000395850, ENST00000642928, ENST00000652678, ENST00000651485"
503,6,"ENST00000397004, ENST00000359171, ENST00000355260, ENST00000324932, ENST00000397007, ENST00000650171"
502,6,"ENST00000428726, ENST00000434472, ENST00000433892, ENST00000263398, ENST00000525469, ENST00000425428"
495,3,"ENST00000319006, ENST00000528097, ENST00000530440"
488,2,"ENST00000524596, ENST00000278193"
482,6,"ENST00000396525, ENST00000339995, ENST00000526148, ENST00000531416, ENST00000532082, ENST00000525681"
477,1,ENST00000282032
474,6,"ENST00000531978, ENST00000530022, ENST00000532359, ENST00000525981, ENST00000526562, ENST00000314138"
474,4,"ENST00000532444, ENST00000531120, ENST00000323213, ENST00000533439"
471,3,"ENST00000300738, ENST00000533349, ENST00000532170"
471,3,"ENST00000514226, ENST00000429814, ENST00000354852"
468,3,"ENST00000642928, ENST00000651785, ENST00000652678"
468,3,"ENST00000526104, ENST00000325207, ENST00000527696"
460,6,"ENST00000381514, ENST00000397297, ENST00000429295, ENST00000397294, ENST00000381519, ENST00000397298"
460,4,"ENST00000433892, ENST00000428726, ENST00000425428, ENST00000263398"
458,1,ENST00000336615
448,8,"ENST00000464784, ENST00000481687, ENST00000527343, ENST00000381036, ENST00000526072, ENST00000492252, ENST00000263645, ENST00000492627"
438,2,"ENST00000530913, ENST00000526562"
436,1,ENST00000327470
432,1,ENST00000254616
431,1,ENST00000496634
430,4,"ENST00000300738, ENST00000533349, ENST00000533495, ENST00000532170"
427,5,"ENST00000524711, ENST00000524896, ENST00000526267, ENST00000531120, ENST00000525782"
423,19,"ENST00000422447, ENST00000545215, ENST00000543695, ENST00000396222, ENST00000379412, ENST00000478970, ENST00000495052, ENST00000542179, ENST00000539814, ENST00000535451, ENST00000227157, ENST00000625635, ENST00000541097, ENST00000540430, ENST00000545467, ENST00000536528, ENST00000430553, ENST00000543445, ENST00000486690"
407,5,"ENST00000532444, ENST00000323213, ENST00000533439, ENST00000531921, ENST00000531120"
407,2,"ENST00000545215, ENST00000486690"
405,6,"ENST00000352303, ENST00000431206, ENST00000382671, ENST00000526783, ENST00000525665, ENST00000532097"
400,3,"ENST00000525069, ENST00000534025, ENST00000309134"
395,2,"ENST00000446113, ENST00000399351"
394,2,"ENST00000527673, ENST00000527791"
393,4,"ENST00000526267, ENST00000531120, ENST00000323213, ENST00000524896"
393,6,"ENST00000532820, ENST00000389645, ENST00000341394, ENST00000529307, ENST00000534825, ENST00000530820"
390,2,"ENST00000530457, ENST00000396394"
390,10,"ENST00000539814, ENST00000227157, ENST00000541097, ENST00000422447, ENST00000536528, ENST00000545215, ENST00000543695, ENST00000396222, ENST00000430553, ENST00000545467"
379,3,"ENST00000414897, ENST00000379965, ENST00000454828"
376,6,"ENST00000397566, ENST00000397570, ENST00000528413, ENST00000348655, ENST00000330243, ENST00000525445"
366,5,"ENST00000429801, ENST00000359171, ENST00000355260, ENST00000324932, ENST00000650171"
359,2,"ENST00000241052, ENST00000650153"
359,2,"ENST00000402157, ENST00000646038"
359,8,"ENST00000415148, ENST00000433892, ENST00000263398, ENST00000425428, ENST00000526669, ENST00000525469, ENST00000428726, ENST00000434472"
355,7,"ENST00000678132, ENST00000651655, ENST00000677121, ENST00000533626, ENST00000678993, ENST00000531572, ENST00000640290"
350,6,"ENST00000439561, ENST00000555531, ENST00000534771, ENST00000529866, ENST00000534234, ENST00000249923"
349,5,"ENST00000352303, ENST00000431206, ENST00000382671, ENST00000525665, ENST00000532097"
347,12,"ENST00000533182, ENST00000397566, ENST00000469048, ENST00000397570, ENST00000649187, ENST00000532326, ENST00000533190, ENST00000647801, ENST00000348655, ENST00000532788, ENST00000330243, ENST00000525445"
343,8,"ENST00000524851, ENST00000532872, ENST00000530721, ENST00000534440, ENST00000531188, ENST00000526608, ENST00000527446, ENST00000278572"
343,13,"ENST00000415148, ENST00000526000, ENST00000433892, ENST00000263398, ENST00000525211, ENST00000528455, ENST00000442151, ENST00000531873, ENST00000527889, ENST00000352818, ENST00000428726, ENST00000279452, ENST00000434472"
343,5,"ENST00000532820, ENST00000389645, ENST00000341394, ENST00000530820, ENST00000534825"
340,4,"ENST00000526115, ENST00000380542, ENST00000620138, ENST00000492685"
340,1,ENST00000311604
336,7,"ENST00000328221, ENST00000399808, ENST00000602735, ENST00000680588, ENST00000526811, ENST00000408968, ENST00000528780"
336,1,ENST00000329957
333,2,"ENST00000534030, ENST00000322028"
331,6,"ENST00000531037, ENST00000614314, ENST00000445086, ENST00000423813, ENST00000254584, ENST00000396777"
330,2,"ENST00000448838, ENST00000227868"
330,3,"ENST00000414023, ENST00000256196, ENST00000537760"
